Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
SVM (Tuned),0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,0.9933862433862434
SVM,0.9736842105263158,0.975609756097561,0.9523809523809523,0.963855421686747,0.9957010582010583
Random Forest (Tuned),0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9963624338624338
Random Forest,0.9736842105263158,1.0,0.9285714285714286,0.9629629629629629,0.9963624338624338
KNN,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.9771825396825397
Neural Network,0.9649122807017544,1.0,0.9047619047619048,0.95,0.9947089947089948
Naive Bayes,0.9385964912280702,0.972972972972973,0.8571428571428571,0.9113924050632911,0.9914021164021164
Decision Tree,0.9122807017543859,0.8809523809523809,0.8809523809523809,0.8809523809523809,0.9057539682539683
